,NAME,FG%,FT%,3PM,REB,AST,STL,BLK,TO,PTS,SCORE
JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3),Players Only Meeting (8-4-1),.4441,.8241,52,120,85,15,8,49,451,4-5-0
JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3),Ithaca is Gorges (7-6),.4565,.8205,48,214,88,28,15,57,448,5-4-0
JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3),Center City ABDs (5-8),.5235,.8161,55,131,77,30,20,63,482,6-2-1
JaVale Vindicated Scoreboard Matchup 7 (Nov 27 - Dec 3),Team Rocket (8-5),.5018,.8675,41,131,66,20,19,48,387,2-6-1

,NAME,FG%,FT%,3PM,REB,AST,STL,BLK,TO,PTS,SCORE
JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10),Mr Steal  Your Ball (4-7-2),.4570,.7320,65,183,74,39,20,60,540,5-4-0
JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10),The Dazzling Lobcity Stars (3-10),.4735,.7846,50,176,103,28,31,67,459,4-5-0
JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10),The Real Power (7-6),.4554,.8205,39,162,102,20,17,52,399,2-7-0
JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10),Old City Irony (8-5),.4692,.8521,44,212,106,33,16,65,561,7-2-0
JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10),Team Orbs (7-6),.4481,.7941,29,171,114,19,8,59,465,2-7-0
JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10),Too Easy (9-4),.5169,.8072,42,157,124,27,32,60,475,7-2-0
JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10),Da Bulter is in Town (7-5-1),.4935,.7863,46,164,81,28,14,38,516,7-2-0
JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10),Players Only Meeting (8-4-1),.4111,.7416,25,114,47,30,15,51,327,2-7-0
