,index,Week Name,Matchup Number,NAME,FGP,FTP,3PM,REB,AST,STL,BLK,TO,PTS,SCORE,WEEK_NUM,Week_WL
85,85,JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10),1,The Dazzling Lobcity Stars (4-15),0.4735,0.7846,50,176,103,28,31,67,459,4-5-0,8,-1
86,86,JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10),2,The Real Power (11-8),0.4554,0.8205,39,162,102,20,17,52,399,2-7-0,8,-1
87,87,JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10),2,Old City Irony (11-7-1),0.4692,0.8521,44,212,106,33,16,65,561,7-2-0,8,1
88,88,JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10),3,Team Orbs (11-8),0.4481,0.7941,29,171,114,19,8,59,465,2-7-0,8,-1
89,89,JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10),3,Too Easy (10-9),0.5169,0.8072,42,157,124,27,32,60,475,7-2-0,8,1
90,90,JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10),4,Da Bulter is in Town (9-9-1),0.4935,0.7863,46,164,81,28,14,38,516,7-2-0,8,1
91,91,JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10),4,Players Only Meeting (13-5-1),0.4111,0.7416,25,114,47,30,15,51,327,2-7-0,8,-1
92,92,JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10),5,Ithaca is Gorges (9-10),0.4894,0.6421,46,224,101,26,15,59,477,1-8-0,8,-1
93,93,JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10),5,Center City ABDs (7-12),0.4955,0.7907,62,159,117,29,16,55,602,8-1-0,8,1
94,94,JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10),6,Nerlens Jazz (5-13-1),0.4725,0.7685,40,145,87,27,19,49,467,2-6-1,8,-1
95,95,JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10),6,Team Rocket (13-6),0.448,0.7232,53,187,106,33,19,45,522,6-2-1,8,1
96,96,JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),1,The Dazzling Lobcity Stars (4-15),0.4679,0.7,38,131,73,23,18,42,379,4-5-0,9,-1
97,97,JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),1,Team Orbs (11-8),0.4331,0.7068,21,206,124,28,12,50,445,5-4-0,9,1
98,98,JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),2,Old City Irony (11-7-1),0.4667,0.7652,44,197,84,36,16,48,537,8-1-0,9,1
99,99,JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),2,Too Easy (10-9),0.4568,0.8621,27,89,79,7,9,50,299,1-8-0,9,-1
100,100,JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),3,Players Only Meeting (13-5-1),0.4656,0.8542,54,154,84,24,29,62,433,6-3-0,9,1
101,101,JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),3,The Real Power (11-8),0.4716,0.7579,34,144,136,22,17,55,422,3-6-0,9,-1
102,102,JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),4,Center City ABDs (7-12),0.4325,0.8387,46,134,99,28,11,40,438,2-7-0,9,-1
103,103,JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),4,Da Bulter is in Town (9-9-1),0.4347,0.7521,53,174,105,38,13,61,490,7-2-0,9,1
104,104,JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),5,Team Rocket (13-6),0.4672,0.7248,37,200,116,42,24,55,458,7-2-0,9,1
105,105,JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),5,Mr Steal  Your Ball (8-9-2),0.45,0.7568,44,145,80,27,17,77,424,2-7-0,9,-1
106,106,JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),6,Nerlens Jazz (5-13-1),0.4441,0.8276,32,135,93,25,13,61,414,1-7-1,9,-1
