"Week Name","Matchup Number","NAME","FG%","FT%","3PM","REB","AST","STL","BLK","TO","PTS","SCORE"
"JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10)","6","Team Rocket (13-6)",".4480",".7232","53","187","106","33","19","45","522","6-2-1"
"JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17)","1","The Dazzling Lobcity Stars (4-15)",".4679",".7000","38","131","73","23","18","42","379","4-5-0"
"JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17)","1","Team Orbs (11-8)",".4331",".7068","21","206","124","28","12","50","445","5-4-0"
"JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17)","2","Old City Irony (11-7-1)",".4667",".7652","44","197","84","36","16","48","537","8-1-0"
"JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17)","2","Too Easy (10-9)",".4568",".8621","27","89","79","7","9","50","299","1-8-0"
"JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17)","3","Players Only Meeting (13-5-1)",".4656",".8542","54","154","84","24","29","62","433","6-3-0"
"JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17)","3","The Real Power (11-8)",".4716",".7579","34","144","136","22","17","55","422","3-6-0"
"JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17)","4","Center City ABDs (7-12)",".4325",".8387","46","134","99","28","11","40","438","2-7-0"
"JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17)","4","Da Bulter is in Town (9-9-1)",".4347",".7521","53","174","105","38","13","61","490","7-2-0"
"JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17)","5","Team Rocket (13-6)",".4672",".7248","37","200","116","42","24","55","458","7-2-0"
"JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17)","5","Mr Steal  Your Ball (8-9-2)",".4500",".7568","44","145","80","27","17","77","424","2-7-0"
"JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17)","6","Nerlens Jazz (5-13-1)",".4441",".8276","32","135","93","25","13","61","414","1-7-1"
"JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17)","6","Ithaca is Gorges (9-10)",".4472",".7041","47","187","111","38","27","61","438","7-1-1"
"JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24)","1","Too Easy (10-9)",".4514",".7732","63","188","121","38","22","80","528","8-1-0"
"JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24)","1","The Dazzling Lobcity Stars (4-15)",".4098",".6951","24","155","82","27","13","35","349","1-8-0"
